MillisecondssinceEpoch;Vel;Watt;Ampere;Altitudine;VelocitaGPS;Percentualedellabatteria;Voltaggiodellabatteria;Capacitadellabatteria;Temperaturadellabatteria;Chilometriresidui;Chilometraggiototale;Niente;Latitudine;Longitudine
1625066395446;0.0;1.2426;0.03;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066395837;0.0;0.82839996;0.02;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066396259;0.0;0.82839996;0.02;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066396648;0.0;0.82839996;0.02;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066397004;0.0;0.41419998;0.01;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066397307;0.0;0.41419998;0.01;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066397667;0.0;0.82839996;0.02;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066398268;0.0;0.41419998;0.01;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066398581;0.0;0.41419998;0.01;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066398957;0.0;0.41419998;0.01;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066399713;0.0;0.41419998;0.01;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066400066;0.0;0.41419998;0.01;0.0;0.0;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;0.0;0.0
1625066400396;0.0;0.41419998;0.01;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066400729;0.0;0.41419998;0.01;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066401061;0.0;0.41419998;0.01;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066401420;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066401837;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066402229;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066402798;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066403158;0.0;0.41419998;0.01;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066403546;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066403878;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066404267;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066404626;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066404986;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066405588;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066406066;0.0;1.2426;0.03;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066406422;0.0;1.2426;0.03;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066406788;0.0;1.2426;0.03;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066407171;0.0;1.2426;0.03;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066407477;0.0;1.2426;0.03;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066407778;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066408090;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066408532;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066408833;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066409187;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066409515;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066410207;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066410611;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066411004;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066411384;0.0;0.82839996;0.02;151.70804;1.836;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.837975;14.503571
1625066411738;0.0;0.41419998;0.01;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066412190;0.0;0.41419998;0.01;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066412639;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066413033;0.1;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066413391;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066413867;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066414256;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066414587;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066415156;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066415817;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066416119;0.0;1.2426;0.03;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066416567;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066416897;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066417258;0.0;0.41419998;0.01;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066417561;0.0;1.2426;0.03;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066417885;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066418246;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066418606;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066419241;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066419606;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066420019;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
1625066420468;0.0;0.82839996;0.02;150.03851;2.5832818;33.0;100.0;41.42;15300.0;33.0;65.0;14.495;40.83792;14.503539
